t,c_pression,c_temp,c_vib,anormal
0,5.0637,39.6289,1.992,0
1,5.1762,40.2064,2.2922,0
2,5.2186,40.4463,2.1201,0
3,5.3172,39.5686,1.7604,0
4,5.3877,39.7549,1.7447,0
5,5.5704,39.9256,1.9816,0
6,5.4237,40.3454,2.2418,0
7,5.4193,39.9883,2.0776,0
8,5.1867,40.0946,1.8805,0
9,5.0306,40.5531,1.8602,0
10,5.032,39.9509,1.9979,0
11,5.0045,40.616,2.1122,0
12,4.7219,40.5285,2.061,0
13,4.6067,41.1378,1.95,0
14,4.4516,40.6475,1.8035,0
15,4.4113,40.5658,1.9991,0
16,4.4879,41.0333,2.2222,0
17,4.5498,41.3215,2.1402,0
18,4.7256,40.6576,1.9451,0
19,4.8779,41.2511,1.7819,0
20,5.0223,41.1859,1.9679,0
21,5.1656,41.2965,2.2047,0
22,5.3145,40.7919,2.1775,0
23,5.3793,41.5445,1.9479,0
24,5.4845,41.1601,1.9292,0
25,5.5313,41.6166,1.9503,0
26,5.5019,41.3042,2.2053,0
27,5.4475,41.466,2.0432,0
28,5.3589,41.4733,1.8824,0
29,5.2028,41.3157,1.8438,0
30,4.8649,41.6698,1.9463,0
31,4.7949,41.7636,2.1826,0
32,4.7691,41.4841,2.2039,0
33,4.5412,42.0297,1.9644,0
34,4.619,41.8856,1.806,0
35,4.5285,41.7872,1.9543,0
36,4.4398,41.5328,2.2083,0
37,4.5263,42.2341,2.1217,0
38,4.755,41.6585,1.9224,0
39,4.8218,42.0034,1.8274,0
40,4.9345,42.515,1.9434,0
41,5.1514,42.156,2.2458,0
42,5.279,42.1368,2.1746,0
43,5.3843,42.2694,1.7839,0
44,5.465,42.1836,1.6969,0
45,5.5789,42.1692,2.0419,0
46,5.4332,42.4528,2.2175,0
47,5.3935,42.1398,2.0934,0
48,5.3308,42.6436,1.8663,0
49,5.1662,42.4498,1.9205,0
50,4.9783,42.6784,1.9537,0
51,4.8159,42.4484,2.1507,0
52,4.768,42.8029,2.137,0
53,4.6749,42.5557,1.863,0
54,4.4493,43.2912,1.7643,0
55,4.5265,42.7451,1.9499,0
56,4.5169,42.5685,2.1624,0
57,4.59,42.6778,2.141,0
58,4.7231,42.7539,1.8992,0
59,4.7812,43.0294,1.7678,0
60,4.9674,43.3822,1.9659,1
61,5.1677,43.754,2.0319,1
62,5.3276,43.7739,2.1421,1
63,5.4003,44.4758,1.9174,1
64,5.5158,44.6685,1.8554,1
65,5.4958,45.5655,2.072,1
66,5.438,45.8034,2.1737,1
67,5.4441,46.5451,2.104,1
68,5.2847,46.5388,1.8963,1
69,5.0845,46.8962,1.8096,1
70,5.0423,47.517,1.9892,1
71,4.7988,48.0515,2.1779,1
72,4.7646,48.2901,2.0835,1
73,4.6394,48.9713,1.8464,1
74,4.5847,49.1324,1.8021,1
75,4.5339,49.5577,2.0365,1
76,4.5427,50.4416,2.2772,1
77,4.6565,50.2087,2.1966,1
78,4.6711,51.3342,1.8769,1
79,4.8448,51.2622,1.8666,1
80,5.041,51.7512,2.0319,1
81,5.1849,52.333,2.2116,1
82,5.3182,52.9364,2.1399,1
83,5.3868,53.5286,1.8965,1
84,5.4568,53.6045,1.8753,1
85,5.5078,54.7835,2.0166,1
86,5.5466,54.6327,2.2135,1
87,5.3601,55.1914,2.1501,1
88,5.3638,55.9819,1.8126,1
89,5.1486,56.2684,1.8064,1
90,4.9933,56.6106,1.9534,1
91,4.8484,56.8188,2.2809,1
92,4.7598,57.3815,2.1676,1
93,4.6854,58.5529,1.7814,1
94,4.5243,58.8588,1.8486,1
95,4.5258,58.954,2.0604,1
96,4.5547,59.725,2.119,1
97,4.6308,59.8897,2.118,1
98,4.7393,60.3606,2.094,1
99,4.8765,60.7065,1.7347,1
100,4.9853,61.2463,2.0589,1
101,5.1389,61.6498,2.1332,1
102,5.2225,62.2057,2.0945,1
103,5.3995,62.3129,1.9046,1
104,5.5292,63.2271,1.8239,1
105,5.4506,63.0575,1.9989,1
106,5.4821,63.8929,2.272,1
107,5.399,63.9632,2.1279,1
108,5.2947,64.2934,1.8876,1
109,5.104,65.1078,1.7761,1
110,4.9863,65.8273,1.9712,1
111,4.8097,66.5268,2.2563,1
112,4.7371,66.4513,2.1867,1
113,4.6351,66.6576,1.8656,1
114,4.6042,66.8656,1.8699,1
115,4.4915,68.081,2.0079,1
116,4.5558,68.3018,2.1981,1
117,4.6007,68.8538,2.1705,1
118,4.7214,68.6368,1.9401,1
119,4.8779,69.4976,1.7913,1
120,4.8962,70.0452,2.0375,1
